噢噢	oo
准度	vydu
🤔	oisk
😨	oikj
日々早八，日々早八，烦たま死，この天天让我早八の世界早晚爆破する，この日々の早八の生活いつまで是个头，早八我されにま，早く西内，早八不西内私就要天に昇る了	zcba
冒个泡泡	mgpp
皆さん、おはようございます。朝の太陽が優しく輝き、新しい一日が始まりました。眠い目を擦りながら起きる朝は、少しだけつらいかもしれませんが、今日も一日充実して過ごせるように、心を引き締めて、微笑みを浮かべていきましょう。昨日の疲れは置き去りにして、新たな希望と活力でこの日を迎えましょう。お互いに励まし合い、素敵な一日を共に創りましょう。	ohyo
あ	a
い	i
う	u
え	e
お	o
か	ka
き	ki
く	ku
け	ke
こ	ko
さ	sa
し	shi
す	su
せ	se
そ	so
た	ta
ち	chi
つ	tsu
て	te
と	to
な	na
に	ni
ぬ	nu
ね	ne
の	no
は	ha
ひ	hi
ふ	fu
へ	he
ほ	ho
ま	ma
み	mi
む	mu
め	me
も	mo
や	ya
ゆ	yu
よ	yo
ら	ra
り	ri
る	ru
れ	re
ろ	ro
わ	wa
を	wo
ん	n
が	ga
ぎ	gi
ぐ	gu
げ	ge
ご	go
ざ	za
じ	ji
ず	zu
ぜ	ze
ぞ	zo
だ	da
ぢ	ji
づ	zu
で	de
ど	do
ば	ba
び	bi
ぶ	bu
べ	be
ぼ	bo
ぱ	pa
ぴ	pi
ぷ	pu
ぺ	pe
ぽ	po
きゃ	kya
きゅ	kyu
きょ	kyo
しゃ	sha
しゅ	shu
しょ	sho
ちゃ	cha
ちゅ	chu
ちょ	cho
にゃ	nya
にゅ	nyu
にょ	nyo
ひゃ	hya
ひゅ	hyu
ひょ	hyo
みゃ	mya
みゅ	myu
みょ	myo
りゃ	rya
りゅ	ryu
りょ	ryo
ぎゃ	gya
ぎゅ	gyu
ぎょ	gyo
じゃ	ja
じゅ	ju
じょ	jo
びゃ	bya
びゅ	byu
びょ	byo
ぴゃ	pya
ぴゅ	pyu
ぴょ	pyo
ア	a
イ	i
ウ	u
エ	e
オ	o
カ	ka
キ	ki
ク	ku
ケ	ke
コ	ko
サ	sa
シ	shi
ス	su
セ	se
ソ	so
タ	ta
チ	chi
ツ	tsu
テ	te
ト	to
ナ	na
ニ	ni
ヌ	nu
ネ	ne
ノ	no
ハ	ha
ヒ	hi
フ	fu
ヘ	he
ホ	ho
マ	ma
ミ	mi
ム	mu
メ	me
モ	mo
ヤ	ya
ユ	yu
ヨ	yo
ラ	ra
リ	ri
ル	ru
レ	re
ロ	ro
ワ	wa
ヲ	wo
ン	n
ガ	ga
ギ	gi
グ	gu
ゲ	ge
ゴ	go
ザ	za
ジ	ji
ズ	zu
ゼ	ze
ゾ	zo
ダ	da
ヂ	ji
ヅ	zu
デ	de
ド	do
バ	ba
ビ	bi
ブ	bu
ベ	be
ボ	bo
パ	pa
ピ	pi
プ	pu
ペ	pe
ポ	po
キャ	kya
キュ	kyu
キョ	kyo
シャ	sha
シュ	shu
ショ	sho
チャ	cha
チュ	chu
チョ	cho
ニャ	nya
ニュ	nyu
ニョ	nyo
ヒャ	hya
ヒュ	hyu
ヒョ	hyo
ミャ	mya
ミュ	myu
ミョ	myo
リャ	rya
リュ	ryu
リョ	ryo
ギャ	gya
ギュ	gyu
ギョ	gyo
ジャ	ja
ジュ	ju
ジョ	jo
ビャ	bya
ビュ	byu
ビョ	byo
ピャ	pya
ピュ	pyu
ピョ	pyo
⽇⽈⾨⾉⽉⺝⺼⾻⻣⺳⺴⻅⺼⺱⽹⺵⼞⺜⻉⽤⾘⽫⽬⾙⾒⿍⾦⺑⺏⽗⾕⽊⽪⼨⺘⾱⿆⽔⽕⽶⺢⺗⼟⾚⿎⾛⼃⽵⽩⾹⿃⾎⾃⾈⽲⿉⼡⼢⺣⺤⺥⾤⺧⺁⼺⾡⺅⽖⽄⼏⺇⺈⽎⾵⻛⼋⼻⾏⽜⽣⽑⾩⻕⼓⼾⺆⿁⻤⿐⽠⽒⾅⺽⾝⻱⿏⺖⼂⼽⼧⺀⺍⽧⺡⻍⿇⽝⻰⼇⼎⼍⺭⻂⻎⻂⻌⻈⼷⿅⼗⽳⽀⼶⺾⺿⺹⽼⼠⿆⺺⾞⼤⼶⽘⺨⻋⼒⺨⼪⺐⼁⼱⽱⺌⾪⺦⻔⽚⺊⺻⾍⾮⻀⼍⾾⺉⾀⼌⺆⾲⼉⼀⽽⻚⾴⾣⻄⺩⽟⼚⺂⾄⼲⾆⽆⾬⻗⻃⼯⼆⽰⺬⾠⽍⽯⿀⾖⾗⺎⾑⼕⼖⽛⺛⽡⾯⼅⼸⾊⾓⻇⻆⼩⼦⼣⽭⾇⽨⼜⻏⻖⼹⼵⽋⻜⾶⼄⺄⻠⻢⿂⻲⻥⻳⿔⺪⽦⼈⾁⾫⼊⾷⻝⻞⻟⺮⽸⽮⺙⽓⻐⿕⼼⻓⽐⻦⼿⽾⾭⻘⻨⻙⼝⾢⻪⺒⺠⿌⻊⾜⼫⼑⾽⽿⼙⾂⺕⻒⽻⾧⻑⾺⼰⺋⿋⺷⾸⾰⻩⽢⺸⿈⽺⺶⼭⼔⼬⾿⼬⾋⼥⼛⼳⺓⽷⺯⼐⺃⽙⺔⺰⻡⼮⽥⺲⾥⿊⽏⺫⺟⼘⿓⽁⼴⽅⾐⽃⽂⻬⻫⽌⺡⾔⿒⻭⻮⺞⻍⾌⻁⾼⽴⾳⾟⻯⽞⿄⻧⿑	buuz
日	a
曰	a
⿱	a
昌	aa
昍	aa
𭥗	aa
晶	aaa
晿	aaa
𣊫	aaaa
𣊭	aaaa
𪱈	aaaa
𱗷	aaag
曑	aaah
𣊖	aaak
𬁬	aaal
曡	aaam
曐	aaam
㬪	aaam
曟	aaav
𣇵	aab
𩩪	aabb
𰖦	aabr
㬈	aabt
𰤼	aabt
𱢕	aabu
覸	aabu
𣈁	aad
𭬀	aadd
𰤮	aadh
𠭒	aae
焸	aaf
𪹕	aaf
𪹶	aaf
𬊘	aaf
𭨖	aafc
𤏒	aaff
𭧌	aafu
𰖹	aagt
鷼	aaha
𪂇	aaha
𩴦	aahi
暒	aahm
㫀	aahm
𭦠	aaht
𣈲	aahu
𤬆	aahv
𦦄	aahx
𣌸	aail
𭥳	aaj
龧	aaja
𰖊	aajk
𣉬	aajn
暥	aajv
㫜	aam
𤦉	aamg
暘	aamh
𣈜	aami
晘	aamj
𣉆	aamo
㫯	aamu
𣊐	aamv
𣊺	aana
𰷙	aanb
𭧴	aand
𣋆	aang
𣊱	aanh
𱢤	aanh
𣌙	aank
𣣘	aano
𱢚	aano
𰖻	aanw
𢛝	aap
晹	aaph
𣈀	aapp
暍	aapv
𲍽	aapy
𣋁	aase
𰷙	aash
曝	aate
𭨋	aatj
𭨃	aatp
𣌈	aatr
𪱆	aatv
𣌑	aaud
𭦂	aav
㬤	aavf
𭧸	aavo
暻	aayf
𮲗	aayk
𣈫	aayt
𣌝	aayv
明	ab
冐	ab
𣊧	abab
暝	abac
曖	abbe
暧	abbe
𣆹	abbm
𣊬	abbq
盟	abbt
覵	abbu
𧡜	abbu
𣌬	abcm
𣉇	abcn
